aifstime_utc[80],apparent_t,cloud_base_m,cloud_oktas,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_msl,press_qnh,rain_trace[80],rel_hum,vis_km[80],wind_spd_kmh,wind_spd_kt
20260218003000,12.3,960,5,4.1,32,17,16.4,8.6,1010.5,1010.5,1011.9,0.0,60,10,20,11
20260218000000,11.4,660,1,3.6,30,16,15.4,8.4,1010.3,1010.3,1011.7,0.0,63,10,19,10
20260217233000,10.3,600,1,2.9,32,17,14.7,9.1,1010.0,1010.0,1011.4,0.0,69,10,22,12
20260217230000,9.0,480,5,2.0,30,16,13.3,9.4,1010.0,1010.0,1011.4,0.0,77,10,22,12
20260217224600,9.8,480,8,1.7,28,15,13.3,10.1,1009.9,1009.9,1011.3,0.0,81,10,19,10
20260217223000,9.0,420,5,1.7,26,14,12.7,9.5,1009.5,1009.5,1011.0,0.0,81,10,19,10
20260217222400,8.9,420,5,1.6,26,14,12.6,9.6,1009.5,1009.5,1011.0,0.0,82,10,19,10
20260217220000,9.1,300,1,1.2,26,14,12.3,10.0,1009.4,1009.4,1010.9,6.8,86,10,17,9
20260217213000,8.7,0,0,0.6,17,9,10.8,9.7,1009.1,1009.1,1010.5,6.8,93,10,11,6
20260217210000,8.0,0,0,0.4,11,6,9.9,9.1,1008.7,1008.7,1010.1,6.8,95,10,9,5
20260217203000,7.5,0,0,0.4,11,6,9.2,8.4,1008.5,1008.5,1009.9,6.8,95,10,7,4
20260217200000,7.5,0,0,0.4,11,6,9.2,8.4,1008.1,1008.1,1009.5,6.8,95,10,7,4
20260217193000,7.0,0,0,0.4,11,6,9.1,8.3,1007.7,1007.7,1009.2,6.8,95,10,9,5
20260217190000,7.8,0,0,0.4,7,4,9.0,8.1,1007.5,1007.5,1009.0,6.8,94,10,4,2
20260217183000,7.9,0,0,0.5,9,5,9.4,8.3,1007.3,1007.3,1008.8,6.8,93,10,6,3
20260217180000,8.2,0,0,0.6,11,6,9.8,8.7,1007.1,1007.1,1008.6,6.8,93,10,7,4
20260217173000,7.7,0,0,0.6,15,8,10.0,8.9,1007.0,1007.0,1008.5,6.8,93,10,11,6
20260217170000,7.9,0,0,0.6,17,9,10.2,9.0,1006.8,1006.8,1008.2,6.6,92,10,11,6
20260217163000,8.4,0,0,0.7,17,9,10.6,9.2,1006.7,1006.7,1008.1,6.6,91,10,11,6
20260217160000,8.8,0,0,0.6,15,8,10.6,9.4,1006.7,1006.7,1008.1,6.6,92,10,9,5
20260217153000,8.3,0,0,0.7,19,10,10.9,9.5,1006.7,1006.7,1008.1,6.6,91,10,13,7
20260217150000,9.1,0,0,0.7,13,7,10.9,9.5,1006.8,1006.8,1008.2,6.6,91,10,9,5
20260217143000,9.8,0,0,0.7,13,7,11.4,10.1,1006.8,1006.8,1008.2,6.6,92,10,9,5
20260217140000,9.5,390,1,0.7,19,10,11.8,10.5,1006.7,1006.7,1008.1,6.6,92,10,13,7
20260217135400,9.6,390,1,0.7,19,10,11.9,10.5,1006.6,1006.6,1008.0,6.6,91,10,13,7
20260217133000,10.5,390,5,0.7,15,8,12.0,10.7,1006.6,1006.6,1008.0,6.6,92,10,9,5
